Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T003_002,SE_T003_001,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T005_001,SE_T005_002,SE_T005_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T020_001,SE_T020_002,SE_T020_003,SE_T020_004,SE_T020_005,SE_T020_006,SE_T020_007,SE_T020_008,SE_T020_009,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T025_009,SE_T025_010,SE_T025_011,SE_T025_012,SE_T025_013,SE_T025_014,SE_T025_015,SE_T025_016,SE_T025_017,SE_T025_018,SE_T069_001,SE_T069_002,SE_T069_003,SE_T069_004,SE_T069_005,SE_T069_006,SE_T069_007,SE_T073_001,SE_T073_002,SE_T073_003,SE_T093_001,SE_T155_001,SE_T156_001,SE_T156_002,SE_T156_003,SE_T185_001,SE_T185_002,SE_T185_003,SE_T185_004,SE_T185_005
"Census Tract 1","Census Tract 1, Benton County, Oregon","41003000100","140","00","92","41","003","17",,"000100",5424,5424,1560.424,3.4759778809786,3.579642,3.475978,0.1036642,5424,2708,2716,5424,404,362,344,201,917,1005,866,706,265,182,138,34,5424,4776,61,70,97,6,270,144,2210,1303,972,331,98,233,907,466,441,5424,5412,4046,1323,956,1364,63,101,32,41,166,1366,548,351,467,12,12,0,4263,3124,8,3116,2900,216,1139,3116,2900,216,36612,2564,2210,1113,1097,5389,1029,1204,2233,3156
"Census Tract 2","Census Tract 2, Benton County, Oregon","41003000200","140","00","92","41","003","17",,"000200",4192,4192,796.1157,5.26556609528693,5.265566,5.265566,0,4192,2058,2134,4192,273,248,263,137,570,631,620,564,302,242,251,91,4192,3821,23,42,169,15,28,94,1763,1135,1010,125,41,84,628,267,361,4192,4186,3308,1132,1033,1001,9,26,15,48,44,878,426,203,249,6,6,0,3372,2206,0,2206,2143,63,1166,2206,2143,63,53313,1828,1763,1048,715,4182,340,501,841,3341
"Census Tract 3","Census Tract 3, Benton County, Oregon","41003000300","140","00","92","41","003","17",,"000300",3137,3137,164.3565,19.0865641076329,19.29961,19.08657,0.2130431,3137,1541,1596,3137,164,236,272,180,171,296,545,621,316,209,100,27,3137,2961,10,32,62,2,19,51,1177,879,770,109,24,85,298,149,149,3137,3133,2765,903,772,957,55,0,0,34,44,368,209,77,82,4,0,4,2406,1614,6,1608,1573,35,792,1608,1573,35,57411,1229,1177,995,182,3137,155,355,510,2627
"Census Tract 4","Census Tract 4, Benton County, Oregon","41003000400","140","00","92","41","003","17",,"000400",7240,7240,2072.79,3.49287718707577,3.492877,3.492877,0,7240,3519,3721,7240,364,454,543,362,672,802,1143,1314,683,529,306,68,7240,6535,42,32,417,3,68,143,2961,2021,1781,240,61,179,940,403,537,7240,7222,5949,2016,1820,1927,19,15,36,22,94,1273,710,231,332,18,2,16,5746,3882,7,3875,3784,91,1864,3875,3784,91,65947,3073,2961,2078,883,7222,498,508,1006,6216
"Census Tract 5","Census Tract 5, Benton County, Oregon","41003000500","140","00","92","41","003","17",,"000500",3135,3135,430.7711,7.27764761844456,7.277647,7.277647,0,3135,1534,1601,3135,127,207,263,185,151,195,501,670,401,212,155,68,3135,2931,16,7,81,1,28,71,1226,930,841,89,23,66,296,131,165,3200,3200,2836,956,912,906,24,7,0,0,31,364,207,72,85,0,0,0,2531,1599,0,1599,1516,83,932,1599,1516,83,72542,1284,1226,1013,213,3194,97,148,245,2949
"Census Tract 6","Census Tract 6, Benton County, Oregon","41003000600","140","00","92","41","003","17",,"000600",5078,5078,483.9345,10.4931544084374,10.77007,10.49315,0.2769113,5078,2365,2713,5078,417,371,381,199,598,816,732,594,270,284,261,155,5078,4319,94,33,271,16,125,220,2023,1247,942,305,68,237,776,310,466,5078,4833,3812,1250,915,1388,48,20,37,28,126,1021,564,212,245,245,218,27,3807,2410,0,2410,2279,131,1397,2410,2279,131,36640,2119,2023,1142,881,4814,614,1162,1776,3038
"Census Tract 7","Census Tract 7, Benton County, Oregon","41003000700","140","00","92","41","003","17",,"000700",1172,1172,2965.591,0.395199514437905,0.4390607,0.3951995,0.04386121,1172,658,514,1172,34,25,27,21,313,308,153,138,65,38,30,20,1172,1043,18,7,40,2,25,37,642,156,110,46,14,32,486,282,204,1107,1057,416,146,100,134,16,5,0,4,11,641,377,109,155,50,39,11,1014,598,8,590,547,43,416,590,547,43,16761,698,642,90,552,1068,374,232,606,462
"Census Tract 8.01","Census Tract 8.01, Benton County, Oregon","41003000801","140","00","92","41","003","17",,"000801",3145,3145,2323.177,1.35374990154395,1.35375,1.35375,0,3145,1307,1838,3145,102,100,51,40,1756,344,170,164,100,88,129,101,3145,2548,71,21,306,12,95,92,869,377,315,62,20,42,492,216,276,3170,1926,1124,393,328,342,6,10,0,24,21,802,275,199,328,1244,88,1156,2866,1300,0,1300,1161,139,1566,1300,1161,139,26205,918,869,263,606,1926,664,303,967,959
"Census Tract 8.02","Census Tract 8.02, Benton County, Oregon","41003000802","140","00","92","41","003","17",,"000802",3851,3851,8080.539,0.476577111554185,0.4765771,0.4765771,0,3851,2067,1784,3851,42,27,31,33,2906,430,177,94,35,41,25,10,3851,2913,68,29,486,51,172,132,1098,224,160,64,22,42,874,474,400,3826,2121,603,231,138,84,0,71,9,23,47,1518,421,443,654,1705,0,1705,3763,1729,0,1729,1578,151,2034,1729,1578,151,12490,1158,1098,112,986,2197,1178,422,1600,597
"Census Tract 9","Census Tract 9, Benton County, Oregon","41003000900","140","00","92","41","003","17",,"000900",5597,5597,1504.03,3.72133461622216,3.721335,3.721335,0,5597,2800,2797,5597,214,340,392,245,964,610,793,937,447,339,265,51,5597,5007,39,18,317,12,76,128,2323,1393,1208,185,54,131,930,411,519,5597,5499,4259,1425,1271,1357,42,25,0,28,111,1240,621,266,353,98,0,98,4557,2936,22,2914,2766,148,1621,2914,2766,148,51921,2406,2323,1411,912,5499,637,693,1330,4169
